#breakingnews,Love Lab
#yuitriggered,My Teen Romantic Comedy SNAFU
#yuyuyukek,YUKI YUNA IS A HERO
#yuruyuriapprove,YuruYuri
#holdme,Tamako Market
#misakaheh,A Certain Scientific Railgun
#ohnoudidnt,Nisekoi
#annoyedkirito,Sword Art Online
#badassmugi,K-On! Season 1
#banjoisahellofadrug,Love, Chunibyo and Other Delusions
#bearhug,The Pet Girl of Sakurasou
#bearwithme,Yurikuma Arashi
#bestiathumbsup,Is It Wrong to Try to Pick Up Girls in a Dungeon?
#biribiricat,A Certain Scientific Railgun
#bishoujo,Sound! Euphonium
#bunnyisla,Plastic Memories
#crazedlaugh,Gintama
#csikon,K-On! Season 1
#cup1,Legend of the Galactic Heroes
#cup2,Bakemonogatari
#sunglasses,Code Geass
#definitelynotamused,When Supernatural Battles Became Commonplace
#disgustedmichiru,Plastic Memories
#elsieqq,The World God Only Knows
#eririmad,Saekano: How to Raise a Boring Girlfriend
#eririmadblush,Saekano: How to Raise a Boring Girlfriend
#eriripout,Saekano: How to Raise a Boring Girlfriend
#flclawe,FLCL
#flclgrit,FLCL
#gintamashock,Gintama
#gintamaspillage,Gintama
#hanasakueurgh,Hanasaku Iroha
#haruhiisnotamused,Haruhi
#hinakonom,Food Wars!
#hisokaclown,Hunter x Hunter
#hunchedover,Amagi Brilliant Park
#hypeoverload,YUKI YUNA IS A HERO
#icanteven,Gintama
#infernocopu,Inferno Cop
#jibrilaww,No Game No Life
#jibrilfetish,No Game No Life
#jojosafari,JoJo's Bizarre Adventure
#kaorihappy,One Week Friends
#katoupls,Saekano: How to Raise a Boring Girlfriend
#manlyschoolgirls,Binbogami ga!
#massivecontempt,Plastic Memories
#mechablush,Gundam Build Fighters
#miiahiss,Monster Musume: Everyday Life with Monster Girls
#michirutilt,Plastic Memories
#miiaembarassed,Monster Musume: Everyday Life with Monster Girls
#miiatears,Monster Musume: Everyday Life with Monster Girls
#misakiteehee,The Pet Girl of Sakurasou
#misakiwink,The Pet Girl of Sakurasou
#momjitonguepoke,Binbogami ga!
#mug1,Legend of the Galactic Heroes
#mug3,Zeta Gundam
#niatilt,Gurren Lagann
#nononkek,Kill la Kill
#nosepick,Gintama
#nozakishock,Monthly Girls' Nozaki-kun
#ohgodwhathaveidone,Chihayafuru
#orly,Is This a Zombie?
#pissedmiia,Monster Musume: Everyday Life with Monster Girls
#pissedtoge,Nisekoi
#saltymichiru,Plastic Memories
#selfishbestia,Is It Wrong to Try to Pick Up Girls in a Dungeon?
#shocklulushock,Yurikuma Arashi
#smugpoint,Hanasaku Iroha
#smugshinobu,Bakemonogatari
#sparklyisla,Plastic Memories
#SPORTS,Bakemonogatari
#stunnedryou,Gourmet Girl Graffiti
#takeoeyesparkle,My Love Story!!
#takeofiredup,My Love Story!!
#takeoniceubodi,My Love Story!!
#takeostubtoe,My Love Story!!
#takeotears,My Love Story!!
#typicalyuuko,The Pet Girl of Sakurasou
#uwannadie,Gintama
#vampirickirin,Gourmet Girl Graffiti
#wankoface,Majikoi Oh! Samurai Girls!
#whowouldathunkit,Nisekoi
#yamadashock,Yamada-kun and the Seven Witches
#yandereyuno,The Future Diary
#yuyuyudisapprove,YUKI YUNA IS A HERO
#tiredfate,Fate/Kaleid Liner Prisma Illya
#kumikouninterested,Sound! Euphonium
#droppedthesoap,Prison School
#chitogheh,Nisekoi
#ohnoudidnt,Nisekoi
#happydera,Nisekoi
#startled,Nisekoi
#teehee,K-On! Season 1
#forcedsmile,Nisekoi
#evenhappierdera,Nisekoi
#surprisedblush,Nisekoi
#um,Lucky Star
#kininarimasu,Hyouka
#kotori,Love Live! School Idol Project
#kyon-facepalm,Haruhi
#araragi-1,Bakemonogatari
#araragi-2,Bakemonogatari
#blank-stare,Fate/Kaleid Liner Prisma Illya
#chaika-smile,Chaika the Coffin Princess
#chitoge-pissed,Nisekoi
#deadpan,Nichijou
#exuberant-shu,Nisekoi
#dead-eyed-stare,A Certain Scientific Railgun
#gamagori-hnng,Kill la Kill
#glasses-push,Log Horizon
#head-tilt,Bakemonogatari
#jiii,Sayonara Zetsubou Sensei
#manly-tears,JoJo's Bizarre Adventure
#not-raining,Fullmetal Alchemist
#ohmygod,JoJo's Bizarre Adventure
#shock,Akame ga Kill
#heart-thumbs-up,Sakura Trick
#worried,Kaiji
#wow-really,Hyouka
#gendo-pls,Neon Genesis Evangelion
#haruhi-annoyed,Ouran High School Host Club
#k-on-hug,K-On! Season 1
#lewd,Love, Chunibyo and Other Delusions
#nanami-hug,The Pet Girl of Sakurasou
#pika-dead,Pokemon
#super-happy,Toradora!
#yui-crying,K-On! Season 1
#durr,Aku no Hana
#mugi-fish,K-On! Season 1
#objection,Fullmetal Alchemist
#chaika,Chaika the Coffin Princess
#chiho-wut,The Devil is a Part-Timer!
#disapproval,Nichijou
#grrrr,Kyousougiga
#im-listening,Natsume's Book of Friends
#om-nom,Engaged to the Unidentified
#stare,Puella Magi Madoka Magica
#u-wat-m8,Tamako Market
#what,Penguindrum
#wide-face,Hidamari Sketch
#ehehehe,Hyouka
#mandom,Barakamon
#facepalm,A Certain Scientific Railgun
#kanie-disgust,Amagi Brilliant Park
#nerrr,Bakemonogatari
#nico-heart,Love Live! School Idol Project
#sonico-wink,Super Sonico: The Animation
#sparkle-ika,Squid Girl
#suave,Hyouka
#super-blush,Nisekoi
#surprised-blush,Oreimo
#thumbs-up,Bokusatsu Tenshi Dokuro-chan
#u-dont-say,Aku no Hana
#ugh-peasants,Fate/stay night Unlimited Blade Works
#uhhh,The Future Diary
#you-bore-me,Hyouka
#kukuku,YuruYuri
#asuka-shouting,Neon Genesis Evangelion
#chiyo-uhh,Monthly Girls' Nozaki-kun
#she-ded,YuruYuri
#deko-cry,Love, Chunibyo and Other Delusions
#wtfika,Squid Girl
#yay,Hidamari Sketch
#osaka,Azumanga Daioh
#toohappy,Original Fanart
#pointandlaugh,Mitsudomoe
#smug,Ichigo Mashimaro
#confused,Hidamari Sketch
#yunocaine,Hidamari Sketch
#konahappy,Lucky Star
#konacat,Lucky Star
#gununu,Ichigo Mashimaro
#cat1,Kodomo no Jikan
#somad,Panty and Stocking with Garterbelt
#mad,Haruhi
#cry,Manabi Straight
